x,y,,,,,
0,99.5,,,,,
1,99,,,,,
2,99.47217588016740,,,,,
3,99.47217588016740,,,,,
4,99.97217588016740,,,,,
5,99.49558662431040,,,,,
6,100.1099063396300,,,,,
7,100.1099063396300,,,,,
8,100.6099063396300,,,,,
9,100.22208290582900,,,,,
10,100.22208290582900,,,,,
11,100.72208290582900,,,,,
12,101.22208290582900,,,,,
13,101.22208290582900,,,,,
14,101.72208290582900,,,,,
15,101.3239445062150,,,,,
16,101.3239445062150,,,,,
17,100.92132870988200,,,,,
18,100.51676512631900,,,,,
19,100.51676512631900,,,,,
20,100.51676512631900,,,,,
21,100.10296664773700,,,,,
22,100.10296664773700,,,,,
23,100.60296664773700,,,,,
24,100.60296664773700,,,,,
25,100.60296664773700,,,,,
26,101.10296664773700,,,,,
27,101.10296664773700,,,,,
28,101.10296664773700,,,,,
29,101.10296664773700,,,,,
30,101.10296664773700,,,,,
31,101.60296664773700,,,,,
32,101.60296664773700,,,,,
33,101.60296664773700,,,,,
34,101.60296664773700,,,,,
35,101.18793463399100,,,,,
36,101.69754925856700,,,,,
37,101.69754925856700,,,,,
38,102.21241212664200,,,,,
39,102.21241212664200,,,,,
40,102.21241212664200,,,,,
41,101.79738011289600,,,,,
42,102.38943113931400,,,,,
43,102.38943113931400,,,,,
44,102.91856186611400,,,,,
45,103.44864912251900,,,,,
46,103.44864912251900,,,,,
47,103.98798369536400,,,,,
48,103.61382634777600,,,,,
49,103.61382634777600,,,,,
50,103.61382634777600,,,,,
51,103.61382634777600,,,,,
52,103.61382634777600,,,,,
53,104.17340037632200,,,,,
54,104.17340037632200,,,,,
55,104.74237780102300,,,,,
56,104.36822045343500,,,,,
57,104.36822045343500,,,,,
58,103.99042290545500,,,,,
59,104.5364315011260,,,,,
60,104.5364315011260,,,,,
61,104.5364315011260,,,,,
62,105.09093825822700,,,,,
63,105.09093825822700,,,,,
64,105.09093825822700,,,,,
65,105.09093825822700,,,,,
66,105.6612370202990,,,,,
67,106.27628063787300,,,,,
68,106.27628063787300,,,,,
69,105.89848308989300,,,,,
70,105.51462800022600,,,,,
71,105.51462800022600,,,,,
72,105.12541041118600,,,,,
73,105.12541041118600,,,,,
74,104.7263465188520,,,,,
75,104.7263465188520,,,,,
76,105.27166758271400,,,,,
77,105.27166758271400,,,,,
78,105.80861267735900,,,,,
79,105.80861267735900,,,,,
80,105.80861267735900,,,,,
81,105.80861267735900,,,,,
82,105.41921590162400,,,,,
83,105.96257304086700,,,,,
84,105.96257304086700,,,,,
85,106.53650547459500,,,,,
86,106.16133189530100,,,,,
87,106.16133189530100,,,,,
88,106.72902766122800,,,,,
89,106.35385408193400,,,,,
90,106.96821302027100,,,,,
91,107.5499607605980,,,,,
92,107.5499607605980,,,,,
93,107.5499607605980,,,,,
94,107.5499607605980,,,,,
95,107.17647633537700,,,,,
